id,url,title,content,scraped_at
13,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Cometh the Hour (The Clifton Chronicles #6),"{""title"": ""Cometh the Hour (The Clifton Chronicles #6)"", ""price"": 25.01, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:21
14,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Balloon Animals,"{""title"": ""Balloon Animals"", ""price"": 17.03, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:21
15,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,The Dinner Party,"{""title"": ""The Dinner Party"", ""price"": 56.54, ""rating"": 2, ""in_stock"": true}",2026-03-08 16:38:21
16,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Mothering Sunday,"{""title"": ""Mothering Sunday"", ""price"": 13.34, ""rating"": 2, ""in_stock"": true}",2026-03-08 16:38:21
17,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Daredevils,"{""title"": ""Daredevils"", ""price"": 16.34, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:21
18,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,11/22/63,"{""title"": ""11/22/63"", ""price"": 48.48, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:21
19,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Miller's Valley,"{""title"": ""Miller's Valley"", ""price"": 58.54, ""rating"": 2, ""in_stock"": true}",2026-03-08 16:38:21
20,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Hystopia: A Novel,"{""title"": ""Hystopia: A Novel"", ""price"": 21.96, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:21
21,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,The Bourne Identity (Jason Bourne #1),"{""title"": ""The Bourne Identity (Jason Bourne #1)"", ""price"": 42.78, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:21
22,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Sister Dear,"{""title"": ""Sister Dear"", ""price"": 40.2, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:21
23,http://books.toscrape.com/catalogue/category/books/fiction_10/page-2.html,Memoirs of a Geisha,"{""title"": ""Memoirs of a Geisha"", ""price"": 49.67, ""rating"": 3, ""in_stock"": true}",2026-03-08 16:38:21
24,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,The Argonauts,"{""title"": ""The Argonauts"", ""price"": 10.93, ""rating"": 2, ""in_stock"": true}",2026-03-08 16:38:22
25,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,Running with Scissors,"{""title"": ""Running with Scissors"", ""price"": 12.91, ""rating"": 4, ""in_stock"": true}",2026-03-08 16:38:22
26,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,Me Talk Pretty One Day,"{""title"": ""Me Talk Pretty One Day"", ""price"": 57.6, ""rating"": 2, ""in_stock"": true}",2026-03-08 16:38:22
27,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,Lust & Wonder,"{""title"": ""Lust & Wonder"", ""price"": 11.87, ""rating"": 2, ""in_stock"": true}",2026-03-08 16:38:22
